firstname,lastname,username,password,type
Kevin,Mitchell,kmitchell0,Passw0rd!,Faculty
Judith,Foster,jfoster1,Passw0rd!,Staff
Sarah,Phillips,sphillips2,Passw0rd!,Staff
Todd,Gutierrez,tgutierrez3,Passw0rd!,Student
Janice,Peterson,jpeterson4,Passw0rd!,Staff
Carol,Banks,cbanks5,Passw0rd!,Staff
Laura,Henry,lhenry6,Passw0rd!,Staff
Alan,Reed,areed7,Passw0rd!,Faculty
Ann,Rivera,arivera8,Passw0rd!,Staff
Patrick,Bryant,pbryant9,Passw0rd!,Staff
Arthur,Simmons,asimmonsa,Passw0rd!,Student
Patricia,Howell,phowellb,Passw0rd!,Staff
Tina,Larson,tlarsonc,Passw0rd!,Student
Julia,Hawkins,jhawkinsd,Passw0rd!,Student
Aaron,Henry,ahenrye,Passw0rd!,Staff
Brandon,Marshall,bmarshallf,Passw0rd!,Staff
Kevin,Carroll,kcarrollg,Passw0rd!,Faculty
Joan,Boyd,jboydh,Passw0rd!,Faculty
Antonio,Reyes,areyesi,Passw0rd!,Staff
Beverly,Rodriguez,brodriguezj,Passw0rd!,Staff
Philip,Olson,polsonk,Passw0rd!,Staff
Judy,Carr,jcarrl,Passw0rd!,Staff
Terry,Hamilton,thamiltonm,Passw0rd!,Staff
Shawn,Schmidt,sschmidtn,Passw0rd!,Student
Adam,Welch,awelcho,Passw0rd!,Staff
Billy,Banks,bbanksp,Passw0rd!,Student
Katherine,Hunt,khuntq,Passw0rd!,Staff
Harry,Boyd,hboydr,Passw0rd!,Staff
John,White,jwhites,Passw0rd!,Staff
Gary,Romero,gromerot,Passw0rd!,Student
Jose,Patterson,jpattersonu,Passw0rd!,Staff
Margaret,Roberts,mrobertsv,Passw0rd!,Staff
Richard,Dixon,rdixonw,Passw0rd!,Student
Anne,Ray,arayx,Passw0rd!,Staff
Debra,Porter,dportery,Passw0rd!,Student
Bonnie,Kim,bkimz,Passw0rd!,Student
Roy,Wells,rwells10,Passw0rd!,Student
Betty,Brown,bbrown11,Passw0rd!,Student
Patrick,Graham,pgraham12,Passw0rd!,Faculty
Emily,Hill,ehill13,Passw0rd!,Staff
Richard,Ramos,rramos14,Passw0rd!,Faculty
Matthew,Ruiz,mruiz15,Passw0rd!,Faculty
Pamela,Burke,pburke16,Passw0rd!,Staff
Sharon,Thompson,sthompson17,Passw0rd!,Staff
Patrick,Day,pday18,Passw0rd!,Student
Jack,Mendoza,jmendoza19,Passw0rd!,Staff
Theresa,Crawford,tcrawford1a,Passw0rd!,Faculty
Wanda,Hart,whart1b,Passw0rd!,Student
Catherine,Nichols,cnichols1c,Passw0rd!,Staff
Katherine,Simpson,ksimpson1d,Passw0rd!,Student
